EMP_SER_NUM,WEEK_ENDING_DATE,ACTIVITY_CODE,DAY,LEAVE_DATE,BMS_LEAVE_TYPE,FINAL_LEAVE_TYPE_BMS,BMS_HOURS,WORK_ITEM_ID
123404,2024-09-27,XL0A00,FRI,2024-09-27,Vacation,Vacation,8.0,TIMEAWAY
123404,2024-09-27,XL0A00,THU,2024-09-26,Vacation,Vacation,4.0,TIMEAWAY
123945,2024-09-27,XL0D00,FRI,2024-09-27,Illness,Sick,8.0,TIMEAWAY
135194,2024-05-10,XL0J00,FRI,2024-05-10,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-10,XL0J00,MON,2024-05-06,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-10,XL0J00,THU,2024-05-09,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-10,XL0J00,TUE,2024-05-07,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-10,XL0J00,WED,2024-05-08,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-17,XL0J00,FRI,2024-05-17,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-17,XL0J00,MON,2024-05-13,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-17,XL0J00,THU,2024-05-16,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-17,XL0J00,TUE,2024-05-14,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-17,XL0J00,WED,2024-05-15,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-24,XL0J00,FRI,2024-05-24,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-24,XL0J00,MON,2024-05-20,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-24,XL0J00,THU,2024-05-23,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-24,XL0J00,TUE,2024-05-21,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-24,XL0J00,WED,2024-05-22,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-31,XL0J00,FRI,2024-05-31,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-31,XL0J00,MON,2024-05-27,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-31,XL0J00,THU,2024-05-30,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-31,XL0J00,TUE,2024-05-28,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
135194,2024-05-31,XL0J00,WED,2024-05-29,Unpaid time not worked,Preventive Suspension - Unpaid,8.0,TIMEAWAY
136063,2024-09-27,XL0A00,FRI,2024-09-27,Vacation,Vacation,8.0,TIMEAWAY
136063,2024-09-27,XL0D00,THU,2024-09-26,Illness,Sick,8.0,TIMEAWAY
147434,2024-09-27,XL0D00,WED,2024-09-25,Illness,Sick,8.0,TIMEAWAY
802312,2024-08-23,XL0B00,FRI,2024-08-23,Designated Holiday,Designated Holiday,4.0,TIMEAWAY
809296,2024-09-27,XL0D00,FRI,2024-09-27,Illness,Sick,8.0,TIMEAWAY
809296,2024-09-27,XL0D00,MON,2024-09-23,Illness,Sick,8.0,TIMEAWAY
811102,2024-05-31,XL0B00,MON,2024-05-27,Designated Holiday,Designated Holiday,8.0,TIMEAWAY
811102,2024-05-31,XL0D00,TUE,2024-05-28,Illness,Sick,4.0,TIMEAWAY
P00080,2024-09-27,XL0I00,THU,2024-09-26,Paid time not worked,Recipient of Allocated Expanded Maternity Leave of 105 days,8.0,TIMEAWAY
P01030,2024-07-12,XL0I00,FRI,2024-07-12,Paid time not worked,Recipient of Allocated Expanded Maternity Leave of 105 days,8.0,TIMEAWAY
P01030,2024-08-09,XL0I00,MON,2024-08-05,Paid time not worked,Recipient of Allocated Expanded Maternity Leave of 105 days,8.0,TIMEAWAY
P01788,2024-09-27,XL0D00,FRI,2024-09-27,Illness,Sick,8.0,TIMEAWAY
P102Q1,2024-09-06,XL0A00,THU,2024-09-05,Vacation,Vacation,8.0,TIMEAWAY
P102RG,2024-09-27,XL0D00,FRI,2024-09-27,Illness,Sick,8.0,TIMEAWAY
P102SE,2024-08-30,XL0D00,THU,2024-08-29,Illness,Sick,8.0,TIMEAWAY
P102V5,2024-08-23,XL0B00,FRI,2024-08-23,Designated Holiday,Designated Holiday,8.0,TIMEAWAY
P102V5,2024-08-23,XL0B00,MON,2024-08-19,Designated Holiday,Designated Holiday,8.0,TIMEAWAY
P102Y5,2024-09-20,XL0D00,THU,2024-09-19,Illness,Sick,4.0,TIMEAWAY
P1037B,2024-09-27,XL0D00,FRI,2024-09-27,Illness,Sick,8.0,TIMEAWAY
P203X3,2024-09-27,XL0D00,THU,2024-09-26,Illness,Sick,8.0,TIMEAWAY
P20523,2024-09-27,XL0A00,FRI,2024-09-27,Vacation,Vacation,8.0,TIMEAWAY
P20523,2024-09-27,XL0A00,THU,2024-09-26,Vacation,Vacation,8.0,TIMEAWAY
P2086J,2024-09-27,XL0D00,TUE,2024-09-24,Illness,Sick,8.0,TIMEAWAY
P2086J,2024-09-27,XL0D00,WED,2024-09-25,Illness,Sick,8.0,TIMEAWAY
P209QX,2024-09-27,XL0A00,FRI,2024-09-27,Vacation,Vacation,8.0,TIMEAWAY
P20AC3,2024-09-27,XL0D00,THU,2024-09-26,Illness,Sick,8.0,TIMEAWAY
P20B7S,2024-09-13,XL0A00,MON,2024-09-09,Vacation,Vacation,8.0,TMAW    
P20B9W,2024-09-27,XL0D00,FRI,2024-09-27,Illness,Sick,8.0,TIMEAWAY
P20B9W,2024-09-27,XL0D00,THU,2024-09-26,Illness,Sick,8.0,TIMEAWAY
P20BBD,2024-09-06,XL0A00,FRI,2024-09-06,Vacation,Vacation,8.0,TMAW    
P20BBD,2024-09-13,XL0A00,MON,2024-09-09,Vacation,Vacation,8.0,TMAW    
P20BBD,2024-09-13,XL0A00,TUE,2024-09-10,Vacation,Vacation,8.0,TMAW    
X91697,2024-09-27,XL0D00,FRI,2024-09-27,Illness,Sick,8.0,TIMEAWAY
X91697,2024-09-27,XL0D00,THU,2024-09-26,Illness,Sick,8.0,TIMEAWAY
